format_name,codes
CCHS2012_ONT_MH_LINK_GAD_26C,1=BY STRESS; 2=OUT OF THE BLUE; 3=DON'T REMEMBER; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_GAD_27A,1=PAST MONTH; 2=2 TO 6 MONTHS; 3=MORE 6 MONTHS; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_GAD_36A,1=OFTEN; 2=SOMETIMES; 3=OCCASIONALLY; 4=NEVER; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_GHCDHDI,0=POOR; 1=FAIR; 2=GOOD; 3=VERY GOOD; 4=EXCELLENT; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_GOOD5FM,1=EXCELLENT; 2=VERY GOOD; 3=GOOD; 4=FAIR; 5=POOR; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_HOUR5DFM,99999.96=NOT APPLICABLE; 99999.97=DON'T KNOW; 99999.98=REFUSAL; 99999.99=NOT STATED
CCHS2012_ONT_MH_LINK_HWT_FM,996=NOT APPLICABLE; 997=DON'T KNOW; 998=REFUSAL; 999=NOT STATED
CCHS2012_ONT_MH_LINK_IDG3_2FM,1=2 = 1-3 TIMES/MONTH; 3=ONCE/WEEK; 4=&gt; ONCE/WEEK; 5=EVERY DAY; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_IDG4_FM,1=JUST ONCE; 2=MORE THAN ONCE; 3=NO; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_INCIMPFM,0=NOT IMPUTED; 1=IMPUTED; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_INC_5AFM,"1=LESS $50,000; 2=$50,000 OR MORE; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED"
CCHS2012_ONT_MH_LINK_INC_5BFM,"1=LESS THAN $5,000; 2=$5,000 OR 3 = $10000 OR 4 = $15000 OR 5 = $20000 OR 6 = $30000 OR 7 = $40000 OR 96 = NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL"
CCHS2012_ONT_MH_LINK_INC_5CFM,1=$50000 OR 2 = $60000 OR 3 = $70000 OR 4 = $80000 OR 5 = 90000 OR 6 = 100 K OR 7 = 150 K AND OVER; 96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL
CCHS2012_ONT_MH_LINK_INTFFM,99.6=NOT APPLICABLE; 99.7=DON'T KNOW; 99.8=REFUSAL; 99.9=NOT STATED
CCHS2012_ONT_MH_LINK_MEDADDFM,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_MEDDNMFM,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_MEDNTYFM,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_MHC_1J,1=A LOT; 2=SOME; 3=A LITTLE; 4=NOT AT ALL; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_MHE06CFM,0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9
CCHS2012_ONT_MH_LINK_MHEPISFM,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_MHEQ06FM,0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9
CCHS2012_ONT_MH_LINK_MIA_03B,1=HOURS; 2=DAYS; 3=WEEKS; 4=MONTHS; 5=YEARS; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_MINUTE3D,996=NOT APPLICABLE; 997=DON'T KNOW; 998=REFUSAL; 999=NOT STATED
CCHS2012_ONT_MH_LINK_MOSFM,1=NONE OF THE TIME; 2=LITTLE/TIME; 3=SOME OF THE TIME; 4=MOST OF THE TIME; 5=ALL OF THE TIME; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
