"cchs_uid","year","cycle","temporal_type","doc_type","category","language","is_subsample","subsample","filename","canonical_filename","local_path","file_size"
"cchs-2014s-m-dd-en-pdf-01","2014","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2014_DataDictionary_Freqs.pdf","cchs_2014s_dd_m_en_1_v1.pdf","cchs-osf-docs/2014/12-Month/Master/Docs/CCHS_2014_DataDictionary_Freqs.pdf",3074937
"cchs-2015s-m-dd-en-pdf-01","2015","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2015_DataDictionary_Freqs.pdf","cchs_2015s_dd_m_en_1_v1.pdf","cchs-osf-docs/2015/12-Month/Master/Docs/CCHS_2015_DataDictionary_Freqs.pdf",4475675
"cchs-2016s-m-dd-en-pdf-01","2016","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2016_DataDictionary_Freqs.pdf","cchs_2016s_dd_m_en_1_v1.pdf","cchs-osf-docs/2016/12-Month/Master/Docs/CCHS_2016_DataDictionary_Freqs.pdf",4383548
"cchs-2017s-m-dd-en-pdf-01","2017","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2017_DataDictionary_Freqs.pdf","cchs_2017s_dd_m_en_1_v1.pdf","cchs-osf-docs/2017/12-Month/Master/Docs/CCHS_2017_DataDictionary_Freqs.pdf",3798168
"cchs-2018s-m-dd-en-pdf-01","2018","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2018_DataDictionary_Freqs.pdf","cchs_2018s_dd_m_en_1_v1.pdf","cchs-osf-docs/2018/12-Month/Master/Docs/CCHS_2018_DataDictionary_Freqs.pdf",3876881
"cchs-2019s-m-dd-en-pdf-01","2019","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2019_DataDictionary_Freqs.pdf","cchs_2019s_dd_m_en_1_v1.pdf","cchs-osf-docs/2019/12-Month/Master/Docs/CCHS_2019_DataDictionary_Freqs.pdf",3735429
"cchs-2020s-m-dd-en-pdf-01","2020","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2020_DataDictionary_Freqs.pdf","cchs_2020s_dd_m_en_1_v1.pdf","cchs-osf-docs/2020/12-Month/Master/Docs/CCHS_2020_DataDictionary_Freqs.pdf",3802143
"cchs-2021s-m-dd-en-pdf-01","2021","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2021_DataDictionary_Freqs.pdf","cchs_2021s_dd_m_en_1_v1.pdf","cchs-osf-docs/2021/12-Month/Master/Docs/CCHS_2021_DataDictionary_Freqs.pdf",2778428
"cchs-2022s-m-dd-en-pdf-01","2022","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2022_DataDictionary_Freqs.pdf","cchs_2022s_dd_m_en_1_v1.pdf","cchs-osf-docs/2022/12-Month/Master/Docs/CCHS_2022_DataDictionary_Freqs.pdf",2509219
"cchs-2023s-m-dd-en-pdf-01","2023","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2023_DataDictionary_Freqs.pdf","cchs_2023s_dd_m_en_1_v1.pdf","cchs-osf-docs/2023/12-Month/Master/Docs/CCHS_2023_DataDictionary_Freqs.pdf",2656946
