Library: CCHS Member: 01. CCHS 2000-2001 Canadian Community Health Survey
Back Search    Search
Variable Name	Description	Type
DRGA_1E	Medication - codeine/Demerol/morphine	Num8
DRGA_1F	Medication - allergy medicine	Num8
DRGA_1G	Medication - asthma medications	Num8
DRGA_1H	Medication - cough/cold remedies	Num8
DRGA_1I	Medication - penicillin/other antibio.	Num8
DRGA_1J	Medication - medicine for the heart	Num8
DRGA_1K	Medication - medicine for blood pressure	Num8
DRGA_1L	Medication - diuretics	Num8
DRGA_1M	Medication - steroids	Num8
DRGA_1N	Medication - insulin	Num8
DRGA_1O	Medication - pills to control diabetes	Num8
DRGA_1P	Medication - sleeping pills	Num8
DRGA_1Q	Medication - stomach remedies	Num8
DRGA_1R	Medication - laxatives	Num8
DRGA_1S	Medication - birth control pills	Num8
DRGA_1T	Medication - hormones for menopause	Num8
DRGA_1T1	Hormone therapy - type	Num8
DRGA_1T2	Hormone therapy - year started	Num8
DRGA_1U	Medication - thyroid	Num8
DRGA_1V	Medication - other	Num8
DRGAF1	At least one medication in past month	Num8
DUIA_1	Passenger with drunk driver	Num8
EDUADH04	Highest level - HH 4 levels	Num8
EDUADR04	Highest level - respond. 4 levels - (D)	Num8
ETSA_1	Second-hand smoke - most days	Num8
ETSA_2A	Second-hand smoke - at home	Num8
ETSA_2B	Second-hand smoke - car / vehicle	Num8
ETSA_2C	Second-hand smoke - in public places	Num8
ETSA_2D	Second-hand smoke - friends or relatives	Num8
ETSA_3	Smoke from cigarettes - bothered by	Num8
ETSA_4	Smoke from cigarettes - irritation	Num8
ETSA_5	Restrictions - smoking in home	Num8
ETSA_6A	Restrictions - not permitted in home	Num8
ETSA_6B	Restrictions - permitted/certain rooms	Num8
ETSA_6C	Restrictions - not presence/young child.	Num8
ETSA_6D	Restrictions - other	Num8
FINA_1	Worried there would not be enough to eat	Num8
FINA_2	Did not have enough to eat	Num8
FINA_3	Did not eat desired quality / variety	Num8
FINAF1	Some food insecurity in past 12 months	Num8
