ices_id,dataset_id,year_start,year_end,geo,temporal_type,content,release,cycle,subfile,n_variables,n_primary_sources,n_secondary_sources
CCHS201112_ONT_LINK_LEVEL1,cchs-2011d-l-ont-level1,2011,2012,ont,dual,gen,linked,,level1,7,0,1
CCHS201112_ONT_LINK_LHIN,cchs-2011d-l-ont-lhin,2011,2012,ont,dual,gen,linked,,lhin,3,0,1
,cchs-2011d-m-can,2011,2012,can,dual,gen,master,,,1207,0,0
CCHS201112_CCHS_PUMF,cchs-2011d-p-can,2011,2012,can,dual,gen,pumf,,,1207,0,1
CCHS201112_ONT_SHARE,cchs-2011d-s-ont,2011,2012,ont,dual,gen,share,,,826,0,1
CCHS201112_ONT_SHARE_BOOT,cchs-2011d-s-ont-boot,2011,2012,ont,dual,gen,share,,boot,502,0,1
CCHS201112_ONT_SHARE_BOOT_HH,cchs-2011d-s-ont-boot.hh,2011,2012,ont,dual,gen,share,,boot.hh,502,0,1
CCHS201112_ONT_SHARE_BOOT_LHIN,cchs-2011d-s-ont-boot.lhin,2011,2012,ont,dual,gen,share,,boot.lhin,502,0,1
CCHS201112_ONT_SHARE_HH,cchs-2011d-s-ont-hh,2011,2012,ont,dual,gen,share,,hh,2,0,1
CCHS201112_ONT_SHARE_LEVEL1,cchs-2011d-s-ont-level1,2011,2012,ont,dual,gen,share,,level1,5,0,1
CCHS201112_ONT_SHARE_LHIN,cchs-2011d-s-ont-lhin,2011,2012,ont,dual,gen,share,,lhin,2,0,1
CCHS2011_ONT_SHARE,cchs-2011s-s-ont,2011,2011,ont,single,gen,share,,,885,0,1
CCHS2011_ONT_SHARE_BOOT,cchs-2011s-s-ont-boot,2011,2011,ont,single,gen,share,,boot,502,0,1
CCHS2011_ONT_SHARE_BOOT_HH,cchs-2011s-s-ont-boot.hh,2011,2011,ont,single,gen,share,,boot.hh,502,0,1
CCHS2011_ONT_SHARE_BOOT_LHIN,cchs-2011s-s-ont-boot.lhin,2011,2011,ont,single,gen,share,,boot.lhin,502,0,1
CCHS2011_ONT_SHARE_HH,cchs-2011s-s-ont-hh,2011,2011,ont,single,gen,share,,hh,2,0,1
CCHS2011_ONT_SHARE_LEVEL1,cchs-2011s-s-ont-level1,2011,2011,ont,single,gen,share,,level1,5,0,1
CCHS2011_ONT_SHARE_LHIN,cchs-2011s-s-ont-lhin,2011,2011,ont,single,gen,share,,lhin,2,0,1
CCHS2012_MH_ONT_LINK,cchs-2012s-l-ont-mh,2012,2012,ont,single,mh,linked,,,1347,0,1
CCHS2012_MH_ONT_LINK_BOOT,cchs-2012s-l-ont-mh-boot,2012,2012,ont,single,mh,linked,,boot,503,0,1
,cchs-2012s-m-can,2012,2012,can,single,gen,master,,,1381,0,0
CCHS2012_MH,cchs-2012s-m-can-mh,2012,2012,can,single,mh,master,,,1346,0,1
CCHS2012_MH_BOOT,cchs-2012s-m-can-mh-boot,2012,2012,can,single,mh,master,,boot,503,0,1
CCHS2012_CCHS_PUMF,cchs-2012s-p-can,2012,2012,can,single,gen,pumf,,,1381,0,1
CCHS2012_ONT_SHARE,cchs-2012s-s-ont,2012,2012,ont,single,gen,share,,,893,0,1
CCHS2012_ONT_SHARE_BOOT,cchs-2012s-s-ont-boot,2012,2012,ont,single,gen,share,,boot,502,0,1
CCHS2012_ONT_SHARE_BOOT_HH,cchs-2012s-s-ont-boot.hh,2012,2012,ont,single,gen,share,,boot.hh,502,0,1
CCHS2012_ONT_SHARE_BOOT_LHIN,cchs-2012s-s-ont-boot.lhin,2012,2012,ont,single,gen,share,,boot.lhin,502,0,1
CCHS2012_ONT_SHARE_HH,cchs-2012s-s-ont-hh,2012,2012,ont,single,gen,share,,hh,2,0,1
CCHS2012_ONT_SHARE_LHIN,cchs-2012s-s-ont-lhin,2012,2012,ont,single,gen,share,,lhin,2,0,1
CCHS201314_ONT_LINK,cchs-2013d-l-ont,2013,2014,ont,dual,gen,linked,,,859,0,1
CCHS201314_ONT_LINK_BOOT,cchs-2013d-l-ont-boot,2013,2014,ont,dual,gen,linked,,boot,504,0,1
CCHS201314_ONT_LINK_BOOT_LHIN,cchs-2013d-l-ont-boot.lhin,2013,2014,ont,dual,gen,linked,,boot.lhin,504,0,1
CCHS201314_ONT_LINK_LHIN,cchs-2013d-l-ont-lhin,2013,2014,ont,dual,gen,linked,,lhin,4,0,1
,cchs-2013d-m-can,2013,2014,can,dual,gen,master,,,1003,0,0
CCHS201314_CCHS_PUMF,cchs-2013d-p-can,2013,2014,can,dual,gen,pumf,,,1003,0,1
CCHS201314_ONT_SHARE,cchs-2013d-s-ont,2013,2014,ont,dual,gen,share,,,852,0,1
CCHS201314_ONT_SHARE_BOOT,cchs-2013d-s-ont-boot,2013,2014,ont,dual,gen,share,,boot,502,0,1
CCHS201314_ONT_SHARE_BOOT_HH,cchs-2013d-s-ont-boot.hh,2013,2014,ont,dual,gen,share,,boot.hh,502,0,1
CCHS201314_ONT_SHARE_BOOT_LHIN,cchs-2013d-s-ont-boot.lhin,2013,2014,ont,dual,gen,share,,boot.lhin,502,0,1
CCHS201314_ONT_SHARE_HH,cchs-2013d-s-ont-hh,2013,2014,ont,dual,gen,share,,hh,2,0,1
CCHS201314_ONT_SHARE_LEVEL1,cchs-2013d-s-ont-level1,2013,2014,ont,dual,gen,share,,level1,5,0,1
CCHS201314_ONT_SHARE_LHIN,cchs-2013d-s-ont-lhin,2013,2014,ont,dual,gen,share,,lhin,2,0,1
CCHS2013_ONT_SHARE,cchs-2013s-s-ont,2013,2013,ont,single,gen,share,,,854,0,1
CCHS2013_ONT_SHARE_BOOT,cchs-2013s-s-ont-boot,2013,2013,ont,single,gen,share,,boot,502,0,1
CCHS2013_ONT_SHARE_BOOT_HH,cchs-2013s-s-ont-boot.hh,2013,2013,ont,single,gen,share,,boot.hh,502,0,1
CCHS2013_ONT_SHARE_BOOT_LHIN,cchs-2013s-s-ont-boot.lhin,2013,2013,ont,single,gen,share,,boot.lhin,502,0,1
CCHS2013_ONT_SHARE_HH,cchs-2013s-s-ont-hh,2013,2013,ont,single,gen,share,,hh,2,0,1
CCHS2013_ONT_SHARE_LHIN,cchs-2013s-s-ont-lhin,2013,2013,ont,single,gen,share,,lhin,2,0,1
CCHS2013_ONT_SHARE_PSTLCODE,cchs-2013s-s-ont-postalcode,2013,2013,ont,single,gen,share,,postalcode,2,0,1
,cchs-2014s-m-can,2014,2014,can,single,gen,master,,,1129,0,0
CCHS2014_CCHS_PUMF,cchs-2014s-p-can,2014,2014,can,single,gen,pumf,,,1129,0,1
CCHS2014_ONT_SHARE,cchs-2014s-s-ont,2014,2014,ont,single,gen,share,,,908,0,1
CCHS2014_ONT_SHARE_BOOT,cchs-2014s-s-ont-boot,2014,2014,ont,single,gen,share,,boot,502,0,1
CCHS2014_ONT_SHARE_BOOT_HH,cchs-2014s-s-ont-boot.hh,2014,2014,ont,single,gen,share,,boot.hh,502,0,1
CCHS2014_ONT_SHARE_BOOT_LHIN,cchs-2014s-s-ont-boot.lhin,2014,2014,ont,single,gen,share,,boot.lhin,502,0,1
CCHS2014_ONT_SHARE_HH,cchs-2014s-s-ont-hh,2014,2014,ont,single,gen,share,,hh,2,0,1
CCHS2014_ONT_SHARE_LEVEL1,cchs-2014s-s-ont-level1,2014,2014,ont,single,gen,share,,level1,5,0,1
CCHS2014_ONT_SHARE_LHIN,cchs-2014s-s-ont-lhin,2014,2014,ont,single,gen,share,,lhin,2,0,1
CCHS201516_LINKED_IKN,cchs-2015d-l-can-ikn,2015,2016,can,dual,gen,linked,,ikn,3,0,1
,cchs-2015d-m-can,2015,2016,can,dual,gen,master,,,1283,0,0
,cchs-2015d-p-can,2015,2016,can,dual,gen,pumf,,,1283,1,0
CCHS201516_ONT_SHARE,cchs-2015d-s-ont,2015,2016,ont,dual,gen,share,,,806,0,1
CCHS201516_ONT_SHARE_BOOT,cchs-2015d-s-ont-boot,2015,2016,ont,dual,gen,share,,boot,1002,0,1
CCHS201516_ONT_SHARE_BOOT_HH,cchs-2015d-s-ont-boot.hh,2015,2016,ont,dual,gen,share,,boot.hh,1002,0,1
CCHS201516_ONT_SHARE_HH,cchs-2015d-s-ont-hh,2015,2016,ont,dual,gen,share,,hh,2,0,1
