"variable_name","length","position","label","question_text","universe","note","n_categories"
"LSMDVSWL","1.0","197","Satisfaction with life in general (D)","","See documentation on derived variables.","","6"
"DOPRS","1.0","198","Pregnancy - Inclusion Flag - (F)","","All respondents","","1"
"PRS_05","1.0","199","Currently pregnant","Are you pregnant?","Respondents aged 15 to 55 with DHH_SEX = 2 and DOPRS = 1","","4"
"DOHWT","1.0","200","Height and weight - Inclusion Flag - (F)","","All respondents","","1"
"HWT_05A","2.0","201","Height (self-reported) - Feet","How tall are you without shoes on? Feet","Respondents with DOHWT = 1 and PRS_05 <> 1","","3"
"HWT_05B","2.0","203","Height (self-reported) - Inches","How tall are you without shoes on? Inches","Respondents with DOHWT = 1 and PRS_05 <> 1","","3"
"HWT_05C","3.0","205","Height (self-reported) - Centimetres","How tall are you without shoes on? Centimetres","Respondents with DOHWT = 1 and PRS_05 <> 1","","3"
"HWT_40A","3.0","208","Weight (self-reported)","How much do you weigh? Weight","Respondents with DOHWT = 1 and PRS_05 <> 1","","3"
"HWT_40B","1.0","211","Weight (self-reported) - unit of measure in pounds or kilograms","How much do you weigh? Pounds or kilograms","Respondents with DOHWT = 1 and PRS_05 <> 1","","4"
"HWTDVHTM","5.3","212","Height (metres) - self-reported - (D)","","See documentation on derived variables.","","2"
"HWTDVWTK","6.2","217","Weight (kilograms) - self-reported - (D)","","See documentation on derived variables.","","2"
"HWTDVBMI","6.2","223","Body mass index (self-reported) - (D)","","See documentation on derived variables.","","2"
"HWTDVCOL","1.0","229","BMI classification age 12 to 17 (self-reported) - Cole - (D)","","See documentation on derived variables.","","6"
"HWTDVISW","2.0","230","BMI classification age 18 + (self-reported) - Intl standard - (D)","","See documentation on derived variables.","","8"
"HWTDVWHO","1.0","232","BMI classification age 12 to 17 (self-reported) - WHO - (D)","","See documentation on derived variables.","","6"
"HWTDVCOR","6.2","233","Body mass index (adjusted) - (D)","","See documentation on derived variables.","","2"
"HWTDVBCC","2.0","239","BMI classification age 18 + (adjusted) - Intl standard - (D)","","See documentation on derived variables.","","8"
"DOWTP","1.0","241","Weight perception - Inclusion Flag - (F)","","All respondents","","1"
"WTP_50","1.0","242","Self-perceived weight - overweight / underweight / just about right","Do you consider yourself overweight, underweight or just about right?","Respondents with DOWTP = 1 and PROXYSEX = (1, 2) and who answered PRS_05 <> 1","","4"
"DOCOV2","1.0","243","COVID-19 (2) - Inclusion Flag - (F)","","All respondents","","1"
"COV2_005","1.0","244","Self-perceived mental health - before / during pandemic","Compared to before the pandemic started, how would you say your mental health is now?","Respondents with DOCOV2 = 1 and PROXYSEX = (1, 2)","","6"
"COV2_10A","1.0","245","COVID-19 precautions - washes hands more frequently","Which of the following precautions are you taking to protect yourself or others against COVID-19? - Wash hands more frequently","Respondents with DOCOV2 = 1 and PROXYSEX = (1, 2)","","3"
"COV2_10B","1.0","246","COVID-19 precautions - wears a mask in public places","Which of the following precautions are you taking to protect yourself or others against COVID-19? - Wear a mask in public places where physical distancing is difficult","Respondents with DOCOV2 = 1 and PROXYSEX = (1, 2)","","3"
"COV2_10C","1.0","247","COVID-19 precautions - keeps a 2 m / 6 ft distance from others","Which of the following precautions are you taking to protect yourself or others against COVID-19? - Keep a 2 meter or 6 foot distance from others","Respondents with DOCOV2 = 1 and PROXYSEX = (1, 2)","","3"
"COV2_10D","1.0","248","COVID-19 precautions - avoids crowds / large gatherings","Which of the following precautions are you taking to protect yourself or others against COVID-19? - Avoid crowds and large gatherings","Respondents with DOCOV2 = 1 and PROXYSEX = (1, 2)","","3"
"COV2_10E","1.0","249","COVID-19 precautions - avoids leaving house for non-essential reasons","Which of the following precautions are you taking to protect yourself or others against COVID-19? - Avoid leaving the house for non-essential reasons","Respondents with DOCOV2 = 1 and PROXYSEX = (1, 2)","","3"
"COV2_10F","1.0","250","COVID-19 precautions - works from home","Which of the following precautions are you taking to protect yourself or others against COVID-19? - Work from home","Respondents with DOCOV2 = 1 and PROXYSEX = (1, 2)","","3"
"COV2_10G","1.0","251","COVID-19 precautions - uses delivery / curb side pick-up services","Which of the following precautions are you taking to protect yourself or others against COVID-19? - Use delivery or curb side pick-up services","Respondents with DOCOV2 = 1 and PROXYSEX = (1, 2)","","3"
"COV2_10H","1.0","252","COVID-19 precautions - self-isolates if symptoms","Which of the following precautions are you taking to protect yourself or others against COVID-19? - Self-isolate if you have symptoms","Respondents with DOCOV2 = 1 and PROXYSEX = (1, 2)","","3"
"COV2_10I","1.0","253","COVID-19 precautions - other precaution","Which of the following precautions are you taking to protect yourself or others against COVID-19? - Other precaution","Respondents with DOCOV2 = 1 and PROXYSEX = (1, 2)","","3"
"COV2_10J","1.0","254","COVID-19 precautions - no precautions taken","Which of the following precautions are you taking to protect yourself or others against COVID-19? - No precaution taken","Respondents with DOCOV2 = 1 and PROXYSEX = (1, 2)","","3"
"COV2_015","1.0","255","Has experienced COVID-19 symptoms - last 3 months","In the last 3 months, have you experienced any of the symptoms that led you to believe that you had COVID-19, such as fever, headache, sore throat, runny nose, difficulty breathing or tiredness?","Respondents with DOCOV2 = 1 and PROXYSEX = (1, 2)","","3"
"COV2_020","1.0","256","Followed public health recommendations while COVID-19 symptoms","While you were experiencing these symptoms, did you follow public health recommendations, such as self-isolating and wearing a mask if you had to go out in public?","Respondents who answered COV2_015 = 1","","4"
"COV2_038","1.0","257","Received COVID-19 vaccine","Have you been vaccinated against COVID-19?","Respondents with DOCOV2 = 1 and PROXYSEX = (1, 2)","","3"
"COV2_030","1.0","258","COVID-19 vaccine - requires 1 or 2 doses","Does the vaccine you received require one or two doses?","Respondents who answered COV2_038 = 1","","4"
"COV2_035","1.0","259","COVID-19 vaccine - number of doses received so far","How many doses of the COVID-19 vaccine have you received so far?","Respondents who answered COV2_030 = 2","","6"
"COV2_041","2.0","260","COVID-19 vaccine - main reason why not vaccinated","What is the main reason why you haven’t been vaccinated against COVID-19?","Respondents who answered COV2_038 <> 1","","14"
"COV2_45A","1.0","262","COVID-19 vaccine - reasons don’t want - not at high risk","Why don’t you want to be vaccinated against COVID-19? - I am not at high risk of getting COVID-19","Respondents who answered COV2_041 = (1, 2)","","4"
"COV2_45B","1.0","263","COVID-19 vaccine - reasons don’t want - won’t be very sick","Why don’t you want to be vaccinated against COVID-19? - If I get COVID-19, I will not be very sick","Respondents who answered COV2_041 = (1, 2)","","4"
"COV2_45C","1.0","264","COVID-19 vaccine - reasons don’t want - pandemic severity overstated","Why don’t you want to be vaccinated against COVID-19? - The severity of the pandemic has been overstated","Respondents who answered COV2_041 = (1, 2)","","4"
"COV2_45D","1.0","265","COVID-19 vaccine - reasons don’t want - vaccines are not effective","Why don’t you want to be vaccinated against COVID-19? - Vaccines in general are not effective in preventing diseases","Respondents who answered COV2_041 = (1, 2)","","4"
"COV2_45E","1.0","266","COVID-19 vaccine - reasons don’t want - vaccines are not safe","Why don’t you want to be vaccinated against COVID-19? - Vaccines in general are not safe","Respondents who answered COV2_041 = (1, 2)","","4"
"COV2_45F","1.0","267","COVID-19 vaccine - reasons don’t want - don’t trust its effectiveness","Why don’t you want to be vaccinated against COVID-19? - I do not trust the effectiveness of the COVID-19 vaccines","Respondents who answered COV2_041 = (1, 2)","","4"
"COV2_45G","1.0","268","COVID-19 vaccine - reasons don’t want - don’t trust its safety","Why don’t you want to be vaccinated against COVID-19? - I do not trust the safety of the COVID-19 vaccines","Respondents who answered COV2_041 = (1, 2)","","4"
"COV2_45H","1.0","269","COVID-19 vaccine - reasons don’t want - philosophical / religious","Why don’t you want to be vaccinated against COVID-19? - Philosophical or religious reasons","Respondents who answered COV2_041 = (1, 2)","","4"
"COV2_45I","1.0","270","COVID-19 vaccine - reasons don’t want - other reason","Why don’t you want to be vaccinated against COVID-19? - Other reason","Respondents who answered COV2_041 = (1, 2)","","4"
"COV2_040","1.0","271","COVID-19 vaccine - likeliness of getting it","How likely is it that you would get a COVID-19 vaccine?","Respondents who answered COV2_38 <> 1","","6"
"COV2_55A","2.0","272","COVID-19 vaccine - main reason for not getting second dose","What is the main reason why you haven’t received your second dose?","Respondents who answered COV2_035 = 1","","12"
"COV2_060","1.0","274","COVID-19 vaccine - likeliness of getting 2nd dose","How likely is it that you would get your second dose?","Respondents who answered COV2_035 = 1","","6"
"DOCOV3","1.0","275","COVID-19 (3) - Inclusion Flag - (F)","","All respondents","","1"
"COV3_005","1.0","276","COVID-19 vaccine - likeliness of getting additional dose if offered","If an additional dose of the COVID-19 vaccine is offered to stimulate your immune system or to fight against variants, how likely is it that you would get it?","Respondents with DOCOV3 = 1 and PROXYSEX = (1, 2) and who answered (COV2_035 <> (3, 4) and COV2_041 <> (2, 8) and COV2_040 <> 4)","This module was only asked in the 202201 collection period. High number of non response is expected.","6"
"DOCCC","1.0","277","Chronic conditions - Inclusion Flag - (F)","","All respondents","","1"
"CCC_05","1.0","278","Has diabetes","Do you have diabetes?","Respondents with DOCCC = 1","","3"
"CCC_10","3.0","279","Diabetes - age first diagnosed","How old were you when this was first diagnosed?","Respondents who answered CCC_05 = 1","","3"
"CCC_15","1.0","282","Diabetes - diagnosed - during pregnancy","Were you pregnant when you were first diagnosed with diabetes?","Respondents who answered CCC_05 = 1 and DHH_SEX = 2 and AWCAGE >12 and (CCC_10 = NONRESPONSE or (CCC_10 > 12 and CCC_10 < 60)","","4"
"CCC_20","1.0","283","Diabetes - diagnosed - other than during pregnancy","Other than during pregnancy, has a health professional ever told you that you have diabetes?","Respondents who answered CCC_15 = 1","","4"
"CCC_30","2.0","284","Diabetes - time between diagnosis and start of insulin","When you were first diagnosed with diabetes, how long was it before you were started on insulin?","Respondents who answered CCC_05 = 1 and CCC_20 <> 2","","8"
"CCC_35","1.0","286","Diabetes - currently takes insulin","Do you currently take insulin for your diabetes?","Respondents who answered CCC_05 = 1 and CCC_20 <> 2","","4"
"CCC_40","1.0","287","Diabetes - took pills to control blood sugar - 1 mo","In the past month, did you take pills to control your blood sugar?","Respondents who answered CCC_05 = 1 and CCC_20 <> 2","","4"
"CCC_45","1.0","288","Has been diagnosed with cancer - lifetime","Have you ever been diagnosed with cancer?","Respondents with DOCCC = 1","","3"
"CCC_50","3.0","289","Cancer - age first diagnosed","How old were you when this was first diagnosed?","Respondents who answered CCC_45 = 1","","3"
"CCC_55","1.0","292","Cancer - received treatment - 12 mo","Have you received treatment for cancer in the past 12 months?","Respondents who answered CCC_45 = (1, NONRESPONSE)","","4"
"CCC_60A","1.0","293","Type of cancer - breast","What type of cancer were you diagnosed with? - Breast","Respondents who answered CCC_45 = 1 or CCC_55 = 1","In the questionnaire, this variable is found under the question CCC_Q60 category # 1. For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","4"
"CCC_65A","1.0","294","Type of cancer - prostate","What type of cancer were you diagnosed with? - Prostate","Respondents with DHH_SEX = 1 and CCC_45 = 1 or CCC_55 = 1","In the questionnaire, this variable is found under the question CCC_Q60 category # 2. For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","4"
"CCC_60B","1.0","295","Type of cancer - colorectal","What type of cancer were you diagnosed with? - Colorectal","Respondents who answered CCC_45 = 1 or CCC_55 = 1","In the questionnaire, this variable is found under the question CCC_Q60 category # 3. For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","4"
"CCC_60C","1.0","296","Type of cancer - skin - melanoma","What type of cancer were you diagnosed with? - Skin - Melanoma","Respondents who answered CCC_45 = 1 or CCC_55 = 1","In the questionnaire, this variable is found under the question CCC_Q60 category # 4. For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","4"
"CCC_60D","1.0","297","Type of cancer - skin - non-melanoma","What type of cancer were you diagnosed with? - Skin - Non-melanoma","Respondents who answered CCC_45 = 1 or CCC_55 = 1","In the questionnaire, this variable is found under the question CCC_Q60 category # 5. For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","4"
"CCC_60E","1.0","298","Type of cancer - ovarian","What type of cancer were you diagnosed with? - Ovarian","Respondents with DHH_SEX = 2 and CCC_45 = 1 or CCC_55 = 1","In the questionnaire, this variable is found under the question CCC_Q60 category # 6. For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","4"
"CCC_60F","1.0","299","Type of cancer - cervical","What type of cancer were you diagnosed with? - Cervical","Respondents with DHH_SEX = 2 and CCC_45 = 1 or CCC_55 = 1","In the questionnaire, this variable is found under the question CCC_Q60 category # 7. For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","4"
"CCC_60G","1.0","300","Type of cancer - uterine","What type of cancer were you diagnosed with? -Uterine","Respondents with DHH_SEX = 2 and CCC_45 = 1 or CCC_55 = 1","In the questionnaire, this variable is found under the question CCC_Q60 category # 8. For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","4"
"CCC_60H","1.0","301","Type of cancer - lung","What type of cancer were you diagnosed with? -Lung","Respondents who answered CCC_45 = 1 or CCC_55 = 1","In the questionnaire, this variable is found under the question CCC_Q60 category # 9. For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","4"
"CCC_60I","1.0","302","Type of cancer - other","What type of cancer were you diagnosed with? - Other","Respondents who answered CCC_45 = 1 or CCC_55 = 1","In the questionnaire, this variable is found under the question CCC_Q60 category # 10. For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","4"
"CCC_65","1.0","303","Has heart disease","Do you have heart disease?","Respondents with DOCCC = 1","","3"
"CCC_70","3.0","304","Heart disease - age first diagnosed","How old were you when this was first diagnosed?","Respondents who answered CCC_65 = 1","","3"
"CCC_75","1.0","307","Has had a heart attack - lifetime","Have you ever been told by a health professional that you have had a heart attack?","Respondents with DOCCC = 1","","3"
"CCC_80","1.0","308","Has high blood pressure","Do you have high blood pressure?","Respondents with DOCCC = 1","","3"
"CCC_85","1.0","309","High blood pressure - took medication - 1 mo","In the past month, have you taken any medicine for high blood pressure?","Respondents with DOCCC = 1","","3"
"CCC_90","1.0","310","Has had high blood cholesterol - lifetime","Have you ever been told by a health professional that your blood cholesterol was high?","Respondents with DOCCC = 1","","3"
"CCC_95","1.0","311","Suffers from the effects of a stroke","Do you suffer from the effects of a stroke?","Respondents aged 20 and over with DOCCC = 1","","4"
"CCC_100","1.0","312","Has osteoporosis","Do you have osteoporosis?","Respondents aged 40 and over with DOCCC = 1","","4"
"CCC_105","1.0","313","Has fibromyalgia","Do you have fibromyalgia?","Respondents with DOCCC = 1","","3"
"CCC_110","3.0","314","Fibromyalgia - age first symptoms","How old were you when the first symptoms appeared?","Respondents who answered CCC_105 = 1","","3"
"CCC_115","3.0","317","Fibromyalgia - age first diagnosed","How old were you when this was first diagnosed?","Respondents who answered CCC_105 = 1","","3"
"CCC_120","1.0","320","Has arthritis (e.g. osteoarthritis, rheumatoid arthritis, gout)","Do you have arthritis?","Respondents with DOCCC = 1","","3"
"CCC_125","1.0","321","Has back problems (excluding scoliosis, fibromyalgia and arthritis)","Do you have back problems?","Respondents with DOCCC = 1","","3"
"CCC_130","1.0","322","Back problems - diagnosed by health professional","Was this diagnosed by a health professional?","Respondents who answered CCC_125 = 1","","4"
"CCC_135","1.0","323","Has a mood disorder (depression, bipolar, mania, dysthymia)","Do you have a mood disorder?","Respondents with DOCCC = 1","","3"
"CCCDVDIA","1.0","324","Diabetes type - 12 months - (D)","","See documentation on derived variables.","","5"
"DOCC1","1.0","325","Chronic conditions (1) - Inclusion Flag - (F)","","All respondents","","1"
"CC1_140","1.0","326","Has an anxiety disorder (phobia, panic, generalized anxiety)","Do you have an anxiety disorder?","Respondents with DOCC1 = 1","","3"
"CC1_145","1.0","327","Has post-traumatic stress disorder (PTSD)","Do you have post-traumatic stress disorder (PTSD)?","Respondents with DOCC1 = 1","","3"
"CC1_150","1.0","328","Has Alzheimer’s Disease / other dementia","Do you have Alzheimer’s disease or any other dementia?","Respondents aged 40 and over with DOCCC = 1","","4"
"CC1_155","1.0","329","Has chronic fatigue syndrome","Do you have chronic fatigue syndrome (CFS)?","Respondents with DOCC1 = 1","","3"
"CC1_160","3.0","330","Chronic fatigue syndrome - age first symptoms","How old were you when the first symptoms appeared?","Respondents who answered CC1_155 = 1","","3"
"CC1_165","3.0","333","Chronic fatigue syndrome - age first diagnosed","How old were you when this was first diagnosed?","Respondents who answered CC1_155 = 1","","3"
"CC1_170","1.0","336","Has multiple chemical sensitivities (MCS)","Do you have multiple chemical sensitivities (MCS)?","Respondents with DOCC1 = 1","","3"
"CC1_175","3.0","337","Multiple chemical sensitivities - age first symptoms","How old were you when the first symptoms appeared?","Respondents who answered CC1_170 = 1","","3"
"CC1_180","3.0","340","Multiple chemical sensitivitiesage first diagnosed","How old were you when this was first diagnosed?","Respondents who answered CC1_170 = 1","","3"
"DOWDM","1.0","343","Abilities - Inclusion Flag - (F)","","All respondents","","1"
"WDM_05","1.0","344","Difficulty - seeing","Do you have difficulty doing any of these activities? Difficulty seeing, even if wearing glasses","Respondents with DOWDM = 1","","5"
"WDM_10","1.0","345","Difficulty - hearing","Do you have difficulty doing any of these activities? Difficulty hearing, even if using a hearing aid","Respondents with DOWDM = 1","","5"
"WDM_15","1.0","346","Difficulty - walking / climbing steps","Do you have difficulty doing any of these activities? Difficulty walking or climbing steps","Respondents with DOWDM = 1","","5"
"WDM_20","1.0","347","Difficulty - remembering / concentrating","Do you have difficulty doing any of these activities? Difficulty remembering or concentrating","Respondents with DOWDM = 1","","5"
"WDM_25","1.0","348","Difficulty - self-care","Do you have difficulty doing any of these activities? Difficulty with self-care","Respondents with DOWDM = 1","","5"
"WDM_30","1.0","349","Difficulty - communicating","Do you have difficulty doing any of these activities? Difficulty communicating when using your usual language","Respondents with DOWDM = 1","","5"
"DOINJ","1.0","350","Injuries - Inclusion Flag - (F)","","All respondents","","1"
"INJ_05A","1.0","351","Injuries - head injury / concussion - 12 mo","In the past 12 months, have you had any of the following injuries? - A head injury or concussion","Respondents with DOINJ = 1","","3"
"INJ_05AA","2.0","352","Head injury / concussion - freq - 12 mo","How many times in the past 12 months?","Respondents who answered INJ_05A = 1","","3"
"INJ_05B","1.0","354","Injuries - broken / fractured bone - 12 mo","In the past 12 months, have you had any of the following injuries? - A broken or fractured bone","Respondents with DOINJ = 1","","3"
"INJ_05BA","2.0","355","Broken / fractured bone - freq - 12 mo","How many times in the past 12 months?","Respondents who answered INJ_05B = 1","","3"
"INJ_05C","1.0","357","Injuries - cut / puncture - 12 mo","In the past 12 months, have you had any of the following injuries? - A serious cut or puncture","Respondents with DOINJ = 1","","3"
"INJ_05CA","2.0","358","Cut / puncture - freq - 12 mo","How many times in the past 12 months?","Respondents who answered INJ_05C = 1","","3"
"INJ_10","2.0","360","Head injury / concussion - activity performed","What were you doing when your head injury or concussion occured?","Respondents who answered INJ_05A = 1 and (INJ_05AA = (1:95) or INJ_05AA = NON- RESPONSE)","","8"
"INJ_15","1.0","362","Head injury / concussion - result of a fall","Was your head injury or concussion the result of a fall?","Respondents who answered INJ_10 = (2, 3, 5, 6)","","4"
